LVL,DATE,COUNTY_FIPS,POP_AT_HOME,POP_NOT_AT_HOME,NUM_OF_TRIPS
State,2019/01/07,,224645.0,834413.0,3602283.0
State,2019/01/07,,366271.0,1557103.0,6967367.0
State,2019/01/07,,638994.0,2386123.0,10623492.0
State,2019/01/07,,258129.0,1094182.0,4435932.0
State,2019/01/07,,1789160.0,7092133.0,32174381.0
State,2019/01/07,,418021.0,1671002.0,8573647.0
State,2019/01/07,,4766017.0,14716459.0,76906859.0
State,2019/01/07,,1836112.0,8515769.0,35091648.0
State,2019/01/07,,145350.0,612405.0,2605920.0
State,2019/01/07,,2289442.0,9364271.0,39361664.0
State,2019/01/07,,751856.0,3179168.0,13963877.0
State,2019/01/07,,881347.0,3296554.0,14701800.0
State,2019/01/07,,2540067.0,10227848.0,41873587.0
State,2019/01/07,,202736.0,851347.0,3581420.0
State,2019/01/07,,862925.0,4205658.0,16897212.0
State,2019/01/07,,164666.0,714869.0,3222091.0
State,2019/01/07,,1233793.0,5515525.0,23657071.0
State,2019/01/07,,4862544.0,23751567.0,97150827.0
State,2019/01/07,,629988.0,2521453.0,11754773.0
State,2019/01/07,,130295.0,494089.0,2010942.0
State,2019/01/07,,1559620.0,6932035.0,30359205.0
State,2019/01/07,,1417664.0,6094896.0,26049574.0
State,2019/01/07,,392153.0,1408157.0,5720170.0
State,2019/01/07,,1044637.0,4751163.0,19869347.0
State,2019/01/08,,693749.0,2867996.0,11618115.0
State,2019/01/08,,182675.0,781539.0,3009537.0
State,2019/01/08,,191982.0,508326.0,4059263.0
State,2019/01/08,,3627447.0,17606775.0,70678081.0
State,2019/01/08,,1887891.0,8599432.0,33820626.0
State,2019/01/08,,280848.0,1135302.0,4834948.0
State,2019/01/08,,343310.0,1405537.0,5509837.0
State,2019/01/08,,2654025.0,10048108.0,47770724.0
State,2019/01/08,,1304441.0,5366985.0,23392803.0
State,2019/01/08,,620554.0,2525943.0,11016195.0
State,2019/01/08,,589028.0,2313573.0,11020304.0
State,2019/01/08,,869424.0,3585318.0,16287031.0
State,2019/01/08,,829543.0,3816188.0,18416972.0
State,2019/01/08,,286702.0,1047612.0,4003191.0
State,2019/01/08,,1113797.0,4910453.0,21244037.0
State,2019/01/08,,1459331.0,5421722.0,27159121.0
State,2019/01/08,,1875259.0,8090104.0,34102800.0
State,2019/01/08,,1027228.0,4566803.0,20024670.0
State,2019/01/08,,484042.0,2493362.0,9934009.0
State,2019/01/08,,1266272.0,4841453.0,20917496.0
State,2019/01/08,,228202.0,830856.0,3520912.0
State,2019/01/08,,368563.0,1554811.0,7057688.0
State,2019/01/08,,643295.0,2381822.0,10652708.0
State,2019/01/08,,1798373.0,7082920.0,31635173.0
State,2019/01/08,,420214.0,1668809.0,8584974.0
State,2019/01/08,,4782324.0,14700152.0,75873892.0
State,2019/01/08,,1838411.0,8513470.0,34901850.0
State,2019/01/08,,146927.0,610828.0,2588299.0
State,2019/01/08,,2257983.0,9395730.0,39449754.0
State,2019/01/08,,758144.0,3172880.0,13833443.0
State,2019/01/08,,878923.0,3298978.0,14687070.0
State,2019/01/08,,2550471.0,10217444.0,41651866.0
State,2019/01/08,,203125.0,850958.0,3552686.0
State,2019/01/08,,869496.0,4199087.0,16696009.0
State,2019/01/08,,170285.0,709250.0,3205866.0
State,2019/01/08,,1245434.0,5503884.0,23454357.0
State,2019/01/08,,4852368.0,23761743.0,97372579.0
State,2019/01/08,,633455.0,2517986.0,11831822.0
State,2019/01/08,,128696.0,495688.0,2019187.0
State,2019/01/08,,1569200.0,6922455.0,30016120.0
State,2019/01/08,,1416312.0,6096248.0,25937556.0
State,2019/01/08,,383627.0,1416683.0,5646813.0
State,2019/01/08,,1056005.0,4739795.0,20248473.0
State,2019/01/08,,129389.0,446581.0,2230555.0
State,2019/01/08,,1236951.0,4441205.0,22752964.0
State,2019/01/08,,7745457.0,31690679.0,136550294.0
State,2019/01/08,,517651.0,2486965.0,10000433.0
State,2019/01/08,,1401206.0,5748520.0,23375418.0
State,2019/01/08,,171293.0,563889.0,2572123.0
State,2019/01/08,,819116.0,4053818.0,16228010.0
State,2019/01/08,,255849.0,1096462.0,4549061.0
State,2019/01/09,,4704152.0,14778324.0,75918467.0
State,2019/01/09,,808641.0,4064293.0,16342867.0
State,2019/01/09,,168116.0,567066.0,2564526.0
State,2019/01/09,,1380896.0,5768830.0,23389558.0
State,2019/01/09,,511023.0,2493593.0,9959116.0
State,2019/01/09,,7672599.0,31763537.0,135716680.0
State,2019/01/09,,1219021.0,4459135.0,22515886.0
State,2019/01/09,,686735.0,2875010.0,11723809.0
State,2019/01/09,,177185.0,787029.0,2992487.0
State,2019/01/09,,189797.0,510511.0,4003856.0
State,2019/01/09,,3562979.0,17671243.0,69876676.0
State,2019/01/09,,1864608.0,8622715.0,33935248.0
State,2019/01/09,,277050.0,1139100.0,4788632.0
State,2019/01/09,,340996.0,1407851.0,5523229.0
State,2019/01/09,,2633871.0,10068262.0,47342001.0
State,2019/01/09,,1273948.0,5397478.0,23056529.0
State,2019/01/09,,613752.0,2532745.0,10984446.0
State,2019/01/09,,580819.0,2321782.0,10856623.0
State,2019/01/09,,865110.0,3589632.0,16036296.0
State,2019/01/09,,818859.0,3826872.0,18558309.0
State,2019/01/09,,284852.0,1049462.0,3967875.0
State,2019/01/09,,1081511.0,4942739.0,21081839.0
State,2019/01/09,,1443862.0,5437191.0,27070923.0
State,2019/01/09,,1860110.0,8105253.0,33974291.0
State,2019/01/09,,1024018.0,4570013.0,20098500.0
State,2019/01/09,,479973.0,2497431.0,9930078.0
State,2019/01/09,,1256054.0,4851671.0,20681444.0
State,2019/01/09,,225588.0,833470.0,3544275.0
State,2019/01/09,,363688.0,1559686.0,6936319.0
State,2019/01/09,,638530.0,2386587.0,10626016.0
State,2019/01/09,,257263.0,1095048.0,4503846.0
State,2019/01/09,,1779021.0,7102272.0,31789120.0
State,2019/01/09,,413459.0,1675564.0,8349676.0
State,2019/01/09,,1809766.0,8542115.0,34570969.0
State,2019/01/09,,145502.0,612253.0,2606210.0
State,2019/01/09,,2265284.0,9388429.0,38710461.0
State,2019/01/09,,752243.0,3178781.0,13830698.0
State,2019/01/09,,867355.0,3310546.0,14671247.0
State,2019/01/09,,2514311.0,10253604.0,41274749.0
State,2019/01/09,,199230.0,854853.0,3526607.0
State,2019/01/09,,856956.0,4211627.0,16605934.0
State,2019/01/09,,166686.0,712849.0,3196008.0
State,2019/01/09,,1233287.0,5516031.0,23458281.0
State,2019/01/09,,4788258.0,23825853.0,97382966.0
State,2019/01/09,,622374.0,2529067.0,11675171.0
State,2019/01/09,,130085.0,494299.0,2014146.0
State,2019/01/09,,1526761.0,6964894.0,29601931.0
State,2019/01/09,,1409632.0,6102928.0,25931491.0
State,2019/01/09,,377685.0,1422625.0,5496054.0
State,2019/01/09,,1055334.0,4740466.0,20148788.0
State,2019/01/09,,126320.0,449650.0,2287400.0
State,2019/01/10,,1209813.0,4897912.0,20876655.0
State,2019/01/10,,222899.0,836159.0,3618999.0
State,2019/01/10,,357526.0,1565848.0,7042683.0
State,2019/01/10,,627691.0,2397426.0,10915060.0
State,2019/01/10,,256652.0,1095659.0,4516880.0
State,2019/01/10,,1754682.0,7126611.0,32514328.0
State,2019/01/10,,333484.0,1415363.0,5650863.0
State,2019/01/10,,402881.0,1686142.0,8601237.0
State,2019/01/10,,4683846.0,14798630.0,77942557.0
State,2019/01/10,,1788040.0,8563841.0,35289238.0
State,2019/01/10,,143063.0,614692.0,2726483.0
State,2019/01/10,,2246970.0,9406743.0,39891981.0
State,2019/01/10,,732127.0,3198897.0,13811387.0
State,2019/01/10,,855512.0,3322389.0,15142773.0
State,2019/01/10,,2502750.0,10265165.0,42388507.0
State,2019/01/10,,196411.0,857672.0,3651901.0
State,2019/01/10,,839549.0,4229034.0,17068235.0
State,2019/01/10,,163410.0,716125.0,3307845.0
State,2019/01/10,,1209289.0,5540029.0,23925621.0
State,2019/01/10,,4695994.0,23918117.0,99102335.0
State,2019/01/10,,607031.0,2544410.0,11972965.0
State,2019/01/10,,129561.0,494823.0,2077094.0
State,2019/01/10,,1511424.0,6980231.0,30186612.0
State,2019/01/10,,1390812.0,6121748.0,26589333.0
State,2019/01/10,,377910.0,1422400.0,5623835.0
State,2019/01/10,,1038506.0,4757294.0,20847833.0
State,2019/01/10,,124358.0,451612.0,2304697.0
State,2019/01/10,,2576337.0,10125796.0,48603603.0
State,2019/01/10,,1263326.0,5408100.0,23546200.0
State,2019/01/10,,600460.0,2546037.0,11337636.0
State,2019/01/10,,566340.0,2336261.0,10759804.0
State,2019/01/10,,850775.0,3603967.0,16402411.0
State,2019/01/10,,804734.0,3840997.0,18985805.0
State,2019/01/10,,285363.0,1048951.0,4118133.0
State,2019/01/10,,1076030.0,4948220.0,21546370.0
State,2019/01/10,,1427704.0,5453349.0,28069099.0
State,2019/01/10,,1852665.0,8112698.0,35087274.0
State,2019/01/10,,1006617.0,4587414.0,20581517.0
State,2019/01/10,,469873.0,2507531.0,10264677.0
State,2019/01/10,,502187.0,2502429.0,9919200.0
State,2019/01/10,,1358940.0,5790786.0,23829026.0
State,2019/01/10,,793955.0,4078979.0,16744815.0
State,2019/01/10,,167470.0,567712.0,2575735.0
State,2019/01/10,,7533413.0,31902723.0,138578438.0
